Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
01/01/2023 00:00,01/01/2023 00:30,4.41,3.02
01/01/2023 00:30,01/01/2023 01:00,13.91,7.16
01/01/2023 01:00,01/01/2023 01:30,15.44,7.82
01/01/2023 01:30,01/01/2023 02:00,1.1,1.58
01/01/2023 02:00,01/01/2023 02:30,6.7,4.02
01/01/2023 02:30,01/01/2023 03:00,1.34,1.69
01/01/2023 03:00,01/01/2023 03:30,2.1,2.01
01/01/2023 03:30,01/01/2023 04:00,-5.11,0
01/01/2023 04:00,01/01/2023 04:30,1.1,1.58
01/01/2023 04:30,01/01/2023 05:00,-3.31,0
01/01/2023 05:00,01/01/2023 05:30,-0.99,0.67
01/01/2023 05:30,01/01/2023 06:00,-0.75,0.77
01/01/2023 06:00,01/01/2023 06:30,-0.88,0.72
01/01/2023 06:30,01/01/2023 07:00,1.1,1.58
01/01/2023 07:00,01/01/2023 07:30,0.58,1.35
01/01/2023 07:30,01/01/2023 08:00,8.82,4.94
01/01/2023 08:00,01/01/2023 08:30,4.23,2.94
01/01/2023 08:30,01/01/2023 09:00,16.76,8.4
01/01/2023 09:00,01/01/2023 09:30,15.57,7.88
01/01/2023 09:30,01/01/2023 10:00,31.13,14.66
01/01/2023 10:00,01/01/2023 10:30,31.97,15.02
01/01/2023 10:30,01/01/2023 11:00,33.48,16.94
01/01/2023 11:00,01/01/2023 11:30,30.47,14.37
01/01/2023 11:30,01/01/2023 12:00,33.48,17.31
01/01/2023 12:00,01/01/2023 12:30,33.48,15.68
01/01/2023 12:30,01/01/2023 13:00,33.48,16.55
01/01/2023 13:00,01/01/2023 13:30,33.48,16.46
01/01/2023 13:30,01/01/2023 14:00,33.48,15.89
01/01/2023 14:00,01/01/2023 14:30,33.48,16.46
01/01/2023 14:30,01/01/2023 15:00,32.97,15.45
01/01/2023 15:00,01/01/2023 15:30,30.03,14.18
01/01/2023 15:30,01/01/2023 16:00,31.29,14.72
01/01/2023 16:00,01/01/2023 16:30,33.48,22.35
01/01/2023 16:30,01/01/2023 17:00,33.48,25.61
01/01/2023 17:00,01/01/2023 17:30,33.48,26.03
01/01/2023 17:30,01/01/2023 18:00,33.48,25.71
01/01/2023 18:00,01/01/2023 18:30,33.48,26.19
01/01/2023 18:30,01/01/2023 19:00,33.48,24.46
01/01/2023 19:00,01/01/2023 19:30,33.48,18.72
01/01/2023 19:30,01/01/2023 20:00,33.48,16.94
01/01/2023 20:00,01/01/2023 20:30,33.48,18.02
01/01/2023 20:30,01/01/2023 21:00,32.63,15.31
01/01/2023 21:00,01/01/2023 21:30,33.48,17.9
01/01/2023 21:30,01/01/2023 22:00,33.48,15.98
01/01/2023 22:00,01/01/2023 22:30,33.48,18.62
01/01/2023 22:30,01/01/2023 23:00,33.16,15.54
01/01/2023 23:00,01/01/2023 23:30,33.48,18.38
01/01/2023 23:30,02/01/2023 00:00,32.63,15.31
02/01/2023 00:00,02/01/2023 00:30,32.28,15.15
02/01/2023 00:30,02/01/2023 01:00,33.48,18.48
02/01/2023 01:00,02/01/2023 01:30,33.48,18.67
02/01/2023 01:30,02/01/2023 02:00,33.48,16.4
02/01/2023 02:00,02/01/2023 02:30,33.48,16.85
02/01/2023 02:30,02/01/2023 03:00,33.48,16.56
02/01/2023 03:00,02/01/2023 03:30,32.41,15.21
02/01/2023 03:30,02/01/2023 04:00,30.91,14.56
