Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
24/01/2024 00:00,24/01/2024 00:30,0.88,1.48
24/01/2024 00:30,24/01/2024 01:00,3.95,2.82
24/01/2024 01:00,24/01/2024 01:30,2.21,2.06
24/01/2024 01:30,24/01/2024 02:00,0.02,1.11
24/01/2024 02:00,24/01/2024 02:30,1.81,1.89
24/01/2024 02:30,24/01/2024 03:00,0.70,1.41
24/01/2024 03:00,24/01/2024 03:30,0.22,1.20
24/01/2024 03:30,24/01/2024 04:00,-1.97,0.24
24/01/2024 04:00,24/01/2024 04:30,-1.80,0.32
24/01/2024 04:30,24/01/2024 05:00,0.00,1.10
24/01/2024 05:00,24/01/2024 05:30,2.65,2.25
24/01/2024 05:30,24/01/2024 06:00,6.62,3.98
24/01/2024 06:00,24/01/2024 06:30,10.30,5.58
24/01/2024 06:30,24/01/2024 07:00,13.37,6.92
24/01/2024 07:00,24/01/2024 07:30,14.69,7.49
24/01/2024 07:30,24/01/2024 08:00,14.41,7.37
24/01/2024 08:00,24/01/2024 08:30,13.78,7.10
24/01/2024 08:30,24/01/2024 09:00,14.01,7.20
24/01/2024 09:00,24/01/2024 09:30,14.47,7.40
24/01/2024 09:30,24/01/2024 10:00,13.89,7.15
24/01/2024 10:00,24/01/2024 10:30,13.81,7.11
24/01/2024 10:30,24/01/2024 11:00,12.09,6.36
24/01/2024 11:00,24/01/2024 11:30,11.27,6.01
24/01/2024 11:30,24/01/2024 12:00,12.13,6.38
24/01/2024 12:00,24/01/2024 12:30,12.35,6.48
24/01/2024 12:30,24/01/2024 13:00,12.61,6.59
24/01/2024 13:00,24/01/2024 13:30,13.43,6.95
24/01/2024 13:30,24/01/2024 14:00,13.19,6.84
24/01/2024 14:00,24/01/2024 14:30,15.44,7.82
24/01/2024 14:30,24/01/2024 15:00,15.44,7.82
24/01/2024 15:00,24/01/2024 15:30,14.55,7.44
24/01/2024 15:30,24/01/2024 16:00,13.92,7.16
24/01/2024 16:00,24/01/2024 16:30,25.77,12.72
24/01/2024 16:30,24/01/2024 17:00,29.58,14.38
24/01/2024 17:00,24/01/2024 17:30,29.78,14.47
24/01/2024 17:30,24/01/2024 18:00,30.14,14.62
24/01/2024 18:00,24/01/2024 18:30,30.06,14.59
24/01/2024 18:30,24/01/2024 19:00,29.74,14.45
24/01/2024 19:00,24/01/2024 19:30,17.64,8.78
24/01/2024 19:30,24/01/2024 20:00,16.82,8.42
24/01/2024 20:00,24/01/2024 20:30,17.64,8.78
24/01/2024 20:30,24/01/2024 21:00,15.48,7.84
24/01/2024 21:00,24/01/2024 21:30,15.74,7.95
24/01/2024 21:30,24/01/2024 22:00,14.51,7.42
24/01/2024 22:00,24/01/2024 22:30,15.66,7.92
24/01/2024 22:30,24/01/2024 23:00,14.77,7.53
24/01/2024 23:00,24/01/2024 23:30,13.63,7.03
24/01/2024 23:30,25/01/2024 00:00,13.63,7.03
25/01/2024 00:00,25/01/2024 00:30,13.23,6.86
25/01/2024 00:30,25/01/2024 01:00,14.60,7.46
25/01/2024 01:00,25/01/2024 01:30,17.26,8.62
25/01/2024 01:30,25/01/2024 02:00,15.66,7.92
25/01/2024 02:00,25/01/2024 02:30,15.21,7.72
25/01/2024 02:30,25/01/2024 03:00,13.61,7.02
25/01/2024 03:00,25/01/2024 03:30,12.79,6.67
25/01/2024 03:30,25/01/2024 04:00,11.75,6.22
25/01/2024 04:00,25/01/2024 04:30,13.39,6.93
25/01/2024 04:30,25/01/2024 05:00,11.03,5.90
25/01/2024 05:00,25/01/2024 05:30,14.73,7.51
25/01/2024 05:30,25/01/2024 06:00,13.53,6.99
25/01/2024 06:00,25/01/2024 06:30,16.76,8.40
25/01/2024 06:30,25/01/2024 07:00,18.52,9.16
25/01/2024 07:00,25/01/2024 07:30,18.96,9.36
25/01/2024 07:30,25/01/2024 08:00,19.36,9.53
25/01/2024 08:00,25/01/2024 08:30,18.16,9.01
25/01/2024 08:30,25/01/2024 09:00,18.08,8.97
25/01/2024 09:00,25/01/2024 09:30,16.45,8.26
25/01/2024 09:30,25/01/2024 10:00,15.17,7.70
25/01/2024 10:00,25/01/2024 10:30,16.23,8.17
25/01/2024 10:30,25/01/2024 11:00,14.84,7.56
25/01/2024 11:00,25/01/2024 11:30,13.87,7.14
25/01/2024 11:30,25/01/2024 12:00,14.93,7.60
25/01/2024 12:00,25/01/2024 12:30,14.53,7.43
25/01/2024 12:30,25/01/2024 13:00,14.60,7.46
25/01/2024 13:00,25/01/2024 13:30,15.41,7.81
25/01/2024 13:30,25/01/2024 14:00,14.33,7.34
25/01/2024 14:00,25/01/2024 14:30,16.54,8.30
25/01/2024 14:30,25/01/2024 15:00,14.55,7.44
25/01/2024 15:00,25/01/2024 15:30,14.80,7.55
25/01/2024 15:30,25/01/2024 16:00,15.88,8.01
25/01/2024 16:00,25/01/2024 16:30,27.29,13.38
25/01/2024 16:30,25/01/2024 17:00,29.88,14.52
25/01/2024 17:00,25/01/2024 17:30,31.34,15.15
25/01/2024 17:30,25/01/2024 18:00,31.16,15.07
25/01/2024 18:00,25/01/2024 18:30,30.55,14.81
25/01/2024 18:30,25/01/2024 19:00,30.24,14.67
25/01/2024 19:00,25/01/2024 19:30,15.96,8.05
25/01/2024 19:30,25/01/2024 20:00,14.99,7.63
25/01/2024 20:00,25/01/2024 20:30,14.77,7.53
25/01/2024 20:30,25/01/2024 21:00,14.99,7.63
25/01/2024 21:00,25/01/2024 21:30,13.91,7.16
25/01/2024 21:30,25/01/2024 22:00,13.23,6.86
25/01/2024 22:00,25/01/2024 22:30,13.45,6.96
25/01/2024 22:30,25/01/2024 23:00,9.10,5.06
25/01/2024 23:00,25/01/2024 23:30,11.53,6.12
25/01/2024 23:30,26/01/2024 00:00,10.85,5.82
26/01/2024 00:00,26/01/2024 00:30,8.82,4.94
26/01/2024 00:30,26/01/2024 01:00,11.47,6.09
26/01/2024 01:00,26/01/2024 01:30,10.80,5.80
26/01/2024 01:30,26/01/2024 02:00,6.90,4.10
26/01/2024 02:00,26/01/2024 02:30,8.96,5.00
26/01/2024 02:30,26/01/2024 03:00,7.94,4.56
26/01/2024 03:00,26/01/2024 03:30,8.38,4.75
26/01/2024 03:30,26/01/2024 04:00,7.04,4.16
26/01/2024 04:00,26/01/2024 04:30,8.80,4.93
26/01/2024 04:30,26/01/2024 05:00,8.80,4.93
26/01/2024 05:00,26/01/2024 05:30,10.28,5.57
26/01/2024 05:30,26/01/2024 06:00,11.60,6.15
26/01/2024 06:00,26/01/2024 06:30,12.13,6.38
26/01/2024 06:30,26/01/2024 07:00,15.79,7.97
26/01/2024 07:00,26/01/2024 07:30,13.45,6.96
26/01/2024 07:30,26/01/2024 08:00,17.18,8.58
26/01/2024 08:00,26/01/2024 08:30,16.36,8.22
26/01/2024 08:30,26/01/2024 09:00,17.20,8.59
26/01/2024 09:00,26/01/2024 09:30,16.54,8.30
26/01/2024 09:30,26/01/2024 10:00,15.70,7.94
26/01/2024 10:00,26/01/2024 10:30,13.61,7.02
26/01/2024 10:30,26/01/2024 11:00,11.69,6.19
26/01/2024 11:00,26/01/2024 11:30,11.91,6.28
26/01/2024 11:30,26/01/2024 12:00,11.51,6.11
26/01/2024 12:00,26/01/2024 12:30,11.18,5.97
26/01/2024 12:30,26/01/2024 13:00,10.96,5.87
26/01/2024 13:00,26/01/2024 13:30,10.36,5.61
26/01/2024 13:30,26/01/2024 14:00,10.96,5.87
26/01/2024 14:00,26/01/2024 14:30,10.96,5.87
26/01/2024 14:30,26/01/2024 15:00,12.13,6.38
26/01/2024 15:00,26/01/2024 15:30,13.89,7.15
26/01/2024 15:30,26/01/2024 16:00,12.39,6.50
26/01/2024 16:00,26/01/2024 16:30,24.95,12.37
26/01/2024 16:30,26/01/2024 17:00,28.98,14.12
26/01/2024 17:00,26/01/2024 17:30,31.04,15.02
